City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,bestobe,52.4994,73.0975,294.72,61,few clouds,3.91,KZ,1690658154
259,floro,61.5996,5.0328,291.19,72,overcast clouds,2.57,NO,1690658154
260,kiffa,16.6166,-11.4045,297.46,82,heavy intensity rain,14.46,MR,1690658155
261,gaspe,48.8334,-64.4819,295.1,51,broken clouds,6.07,CA,1690657878
262,kangaroo flat,-36.8,144.25,277.77,57,clear sky,1.73,AU,1690658155
263,puerto ayora,-0.7393,-90.3518,304.13,88,overcast clouds,2.68,EC,1690657597
264,alfredo chaves,-20.635,-40.7497,294.73,91,overcast clouds,2.34,BR,1690658156
265,winschoten,53.1442,7.0347,292.69,89,clear sky,3.32,NL,1690658156
266,ormara,25.2088,64.6357,301.23,85,few clouds,6.92,PK,1690658156
267,margate,51.3813,1.3862,293.64,69,scattered clouds,2.68,GB,1690657477
268,egilsstadir,65.2653,-14.3948,283.1,87,scattered clouds,6.17,IS,1690657593
269,greymouth,-42.4667,171.2,277.15,89,few clouds,2.69,NZ,1690658158
270,cidreira,-30.1811,-50.2056,288.07,66,broken clouds,2.13,BR,1690657877
271,ponnani,10.767,75.9252,297.77,83,overcast clouds,4.5,IN,1690658160
272,anchorage,61.2181,-149.9003,288.68,95,moderate rain,1.54,US,1690657770
273,nar'yan-mar,67.6713,53.087,292.22,74,scattered clouds,5.61,RU,1690658161
274,happy valley-goose bay,53.3168,-60.3315,291.81,49,overcast clouds,2.49,CA,1690657699
275,bei'an,24.5399,109.533,299.33,89,overcast clouds,0.89,CN,1690658161
276,keflavik,64.0049,-22.5624,286.39,71,broken clouds,3.6,IS,1690657775
277,el calafate,-50.3408,-72.2768,277.36,93,scattered clouds,8.79,AR,1690657874
278,sylva,58.0348,56.7635,292.8,79,clear sky,1.19,RU,1690658162
279,kombissiri,12.0656,-1.3375,304.14,70,light rain,2.77,BF,1690658162
